"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","3.92","3.81","3.99","3.80","26.81M","2.89%"
"01/20/2023","3.81","3.67","3.86","3.62","48.99M","5.25%"
"01/19/2023","3.62","3.61","3.67","3.57","21.27M","-0.55%"
"01/18/2023","3.64","3.71","3.77","3.56","44.06M","-0.82%"
"01/17/2023","3.67","3.65","3.75","3.62","27.23M","-0.27%"
"01/13/2023","3.68","3.65","3.71","3.56","15.07M","0.55%"
"01/12/2023","3.66","3.73","3.73","3.58","26.38M","-1.61%"
"01/11/2023","3.72","3.67","3.75","3.56","28.42M","1.64%"
"01/10/2023","3.66","3.68","3.73","3.54","34.13M","0.00%"
"01/09/2023","3.66","3.57","3.81","3.54","20.58M","2.81%"
"01/06/2023","3.56","3.54","3.61","3.39","19.56M","2.30%"
"01/05/2023","3.48","3.52","3.53","3.43","22.67M","-1.14%"
"01/04/2023","3.52","3.61","3.66","3.50","19.97M","-1.12%"
"01/03/2023","3.56","3.91","4.03","3.55","40.71M","-12.53%"
"12/30/2022","4.07","4.00","4.17","4.00","12.29M","0.25%"
"12/29/2022","4.06","3.95","4.06","3.87","11.07M","3.84%"
"12/28/2022","3.91","3.84","3.93","3.81","14.82M","2.36%"
"12/27/2022","3.82","3.84","3.86","3.76","13.57M","-1.80%"
"12/23/2022","3.89","3.86","3.91","3.78","10.57M","0.78%"
"12/22/2022","3.86","3.87","3.90","3.72","16.31M","-1.28%"
"12/21/2022","3.91","3.88","3.92","3.76","16.21M","2.09%"
"12/20/2022","3.83","3.88","3.95","3.83","17.56M","-2.05%"
"12/19/2022","3.91","3.88","3.94","3.81","20.70M","0.26%"
"12/16/2022","3.90","3.76","3.92","3.76","25.48M","4.28%"
"12/15/2022","3.74","3.80","3.88","3.72","20.52M","-2.09%"
"12/14/2022","3.82","3.90","3.91","3.76","21.03M","-1.55%"
"12/13/2022","3.88","4.20","4.21","3.87","22.17M","-3.48%"
"12/12/2022","4.02","3.91","4.05","3.83","24.04M","2.29%"
"12/09/2022","3.93","4.03","4.05","3.91","18.39M","-3.44%"
"12/08/2022","4.07","4.05","4.18","4.04","23.81M","2.52%"
"12/07/2022","3.97","4.05","4.07","3.89","14.16M","-2.22%"
"12/06/2022","4.06","4.13","4.14","4.00","18.68M","0.00%"
"12/05/2022","4.06","4.24","4.31","4.06","48.77M","-8.97%"
"12/02/2022","4.46","4.28","4.49","4.19","35.51M","2.29%"
"12/01/2022","4.36","4.42","4.44","4.22","23.15M","-2.02%"
"11/30/2022","4.45","4.18","4.49","4.08","39.10M","4.46%"
"11/29/2022","4.26","4.26","4.30","4.21","13.05M","0.95%"
"11/28/2022","4.22","4.40","4.50","4.20","21.45M","-5.17%"
"11/25/2022","4.45","4.49","4.51","4.38","13.35M","0.23%"
"11/23/2022","4.44","4.19","4.46","4.13","24.14M","5.71%"
"11/22/2022","4.20","4.29","4.30","4.16","22.07M","-2.55%"
"11/21/2022","4.31","4.35","4.37","4.21","31.51M","-0.23%"
"11/18/2022","4.32","4.49","4.50","4.25","29.31M","-1.37%"
"11/17/2022","4.38","4.56","4.57","4.30","54.38M","-8.37%"
"11/16/2022","4.78","4.86","4.95","4.67","31.99M","-2.65%"
"11/15/2022","4.91","4.88","5.25","4.84","69.55M","12.87%"
"11/14/2022","4.35","4.55","4.57","4.28","48.70M","-2.03%"
"11/11/2022","4.44","4.55","4.72","4.32","41.33M","-2.42%"
"11/10/2022","4.55","4.91","4.97","4.51","59.40M","-2.99%"
"11/09/2022","4.69","5.01","5.03","4.66","44.38M","-8.22%"
"11/08/2022","5.11","4.83","5.28","4.83","31.38M","6.24%"
"11/07/2022","4.81","4.90","4.94","4.75","24.34M","-1.23%"
"11/04/2022","4.87","5.09","5.10","4.78","25.60M","-1.22%"
"11/03/2022","4.93","4.78","5.08","4.71","30.90M","2.92%"
"11/02/2022","4.79","5.08","5.13","4.76","22.45M","-5.89%"
"11/01/2022","5.09","5.09","5.24","4.99","35.95M","1.80%"
"10/31/2022","5.00","4.53","5.10","4.51","62.41M","8.93%"
"10/28/2022","4.59","4.42","4.62","4.41","23.05M","3.38%"
"10/27/2022","4.44","4.45","4.49","4.33","20.31M","1.14%"
"10/26/2022","4.39","4.43","4.70","4.34","27.33M","-4.36%"
"10/25/2022","4.59","4.30","4.68","4.30","27.02M","6.74%"
"10/24/2022","4.30","4.46","4.47","4.15","24.88M","-5.08%"
"10/21/2022","4.53","4.33","4.54","4.15","25.03M","3.42%"
"10/20/2022","4.38","4.33","4.49","4.29","19.26M","0.46%"
"10/19/2022","4.36","4.23","4.45","4.19","28.16M","-0.91%"
"10/18/2022","4.40","4.55","4.59","4.30","27.64M","0.23%"
"10/17/2022","4.39","4.24","4.45","4.15","16.91M","6.55%"
"10/14/2022","4.12","4.20","4.38","4.03","33.55M","-1.20%"
"10/13/2022","4.17","3.89","4.24","3.79","44.82M","1.46%"
"10/12/2022","4.11","4.09","4.22","3.95","21.45M","0.24%"
"10/11/2022","4.10","4.21","4.22","4.03","37.36M","-4.43%"
