"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2022","14,376.09","14,377.15","14,470.68","14,190.53","246.17M","-0.31%"
"03/18/2022","14,420.08","14,061.29","14,427.47","14,014.43","566.58M","2.14%"
"03/17/2022","14,118.60","13,878.99","14,125.67","13,827.34","232.03M","1.16%"
"03/16/2022","13,956.78","13,633.12","13,960.25","13,475.09","333.55M","3.70%"
"03/15/2022","13,458.56","13,174.97","13,488.18","13,092.45","287.73M","3.16%"
"03/14/2022","13,046.64","13,248.09","13,386.67","13,020.40","273.08M","-1.92%"
"03/11/2022","13,301.83","13,701.80","13,714.44","13,285.19","238.44M","-2.13%"
"03/10/2022","13,591.00","13,577.84","13,633.69","13,399.46","234.12M","-1.10%"
"03/09/2022","13,742.20","13,610.48","13,793.11","13,504.48","261.57M","3.58%"
"03/08/2022","13,267.60","13,275.23","13,663.27","13,129.40","308.91M","-0.39%"
"03/07/2022","13,319.38","13,853.53","13,879.10","13,314.44","304.72M","-3.75%"
"03/04/2022","13,837.83","13,957.60","13,992.97","13,738.61","244.70M","-1.41%"
"03/03/2022","14,035.21","14,339.70","14,342.56","13,965.11","230.88M","-1.46%"
"03/02/2022","14,243.69","14,075.11","14,292.72","13,962.69","233.56M","1.70%"
"03/01/2022","14,005.99","14,197.66","14,271.58","13,906.92","262.94M","-1.63%"
"02/28/2022","14,237.81","14,058.61","14,296.60","14,009.36","309.03M","0.34%"
"02/25/2022","14,189.16","13,973.90","14,193.00","13,850.29","241.78M","1.53%"
"02/24/2022","13,974.67","13,065.44","13,989.10","13,065.44","377.16M","3.44%"
"02/23/2022","13,509.43","14,016.94","14,035.93","13,502.58","256.46M","-2.60%"
"02/22/2022","13,870.53","13,892.81","14,109.26","13,720.92","258.34M","-0.99%"
"02/18/2022","14,009.54","14,207.55","14,225.72","13,918.76","266.12M","-1.14%"
"02/17/2022","14,171.74","14,485.08","14,497.46","14,155.43","226.16M","-2.96%"
"02/16/2022","14,603.64","14,514.84","14,647.79","14,399.29","194.98M","-0.12%"
"02/15/2022","14,620.82","14,482.11","14,624.53","14,444.46","222.14M","2.47%"
"02/14/2022","14,268.59","14,233.40","14,400.78","14,119.73","249.43M","0.10%"
"02/11/2022","14,253.84","14,739.46","14,769.64","14,194.54","289.87M","-3.07%"
"02/10/2022","14,705.64","14,770.67","15,037.26","14,636.61","259.08M","-2.33%"
"02/09/2022","15,056.96","14,930.99","15,057.90","14,870.36","220.30M","2.10%"
"02/08/2022","14,747.03","14,533.25","14,785.22","14,485.78","211.61M","1.21%"
"02/07/2022","14,571.25","14,716.43","14,813.86","14,524.63","203.27M","-0.84%"
"02/04/2022","14,694.35","14,566.28","14,832.05","14,452.28","238.70M","1.33%"
"02/03/2022","14,501.11","14,693.85","14,856.51","14,471.19","310.21M","-4.22%"
"02/02/2022","15,139.74","15,173.03","15,196.40","14,960.85","297.73M","0.80%"
"02/01/2022","15,019.68","14,966.60","15,034.42","14,749.49","234.44M","0.60%"
"01/31/2022","14,930.05","14,505.07","14,934.52","14,442.88","311.40M","3.29%"
"01/28/2022","14,454.61","14,091.32","14,457.78","13,880.48","292.47M","3.22%"
"01/27/2022","14,003.11","14,346.46","14,419.45","13,972.88","291.78M","-1.20%"
"01/26/2022","14,172.76","14,492.52","14,646.54","14,006.40","310.91M","0.17%"
"01/25/2022","14,149.12","14,237.60","14,410.43","14,033.81","283.30M","-2.48%"
"01/24/2022","14,509.58","14,160.91","14,532.57","13,724.85","425.47M","0.49%"
"01/21/2022","14,438.40","14,728.66","14,868.45","14,432.64","388.09M","-2.75%"
"01/20/2022","14,846.46","15,176.38","15,347.62","14,832.69","246.53M","-1.34%"
"01/19/2022","15,047.84","15,287.25","15,382.00","15,038.43","228.59M","-1.07%"
"01/18/2022","15,210.76","15,378.06","15,446.30","15,182.96","284.38M","-2.57%"
"01/14/2022","15,611.59","15,396.47","15,617.18","15,396.47","214.94M","0.75%"
"01/13/2022","15,495.62","15,970.09","15,990.38","15,468.09","220.05M","-2.57%"
"01/12/2022","15,905.10","15,955.48","16,017.39","15,815.94","192.30M","0.38%"
"01/11/2022","15,844.12","15,582.72","15,848.56","15,496.91","214.96M","1.47%"
"01/10/2022","15,614.43","15,383.18","15,627.92","15,165.53","281.70M","0.14%"
"01/07/2022","15,592.19","15,774.13","15,835.00","15,526.80","212.83M","-1.10%"
"01/06/2022","15,765.36","15,675.22","15,900.60","15,608.57","229.89M","-0.04%"
"01/05/2022","15,771.77","16,190.55","16,249.23","15,763.84","257.52M","-3.12%"
"01/04/2022","16,279.73","16,513.87","16,513.87","16,151.91","241.07M","-1.35%"
"01/03/2022","16,501.77","16,395.51","16,504.13","16,306.64","199.76M","1.11%"
